# Magasin CSCA — généré par tools/csca/update_csca.py
# Éditions : masterlist ICAO ICAO_ML_20260715120139.ml (https://www.icao.int/sites/default/files/Security/FAL/MasterList/ICAO_ML_20260715120139.ml)
#            masterlist BSI DE_ML_2026-05-28-08-28-45.ml (https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/ElekAusweise/CSCA/GermanMasterList.zip?__blob=publicationFile)
#            ANTS : CSCA-FRANCE_2025 (https://img.ants.gouv.fr/78710fab-d613-43a6-9123-e740181f5550.zip), CSCA-FRANCE_2020 (https://img.ants.gouv.fr/9fcbd13c-19a7-406d-ae0f-d4ff68ee247f.zip), CSCA-FRANCE_2015 (https://img.ants.gouv.fr/6c2a08a3-719b-45c9-95b4-bc68b993a89f.zip), CSCA-FRANCE_2010 (https://img.ants.gouv.fr/dc3345f5-3e91-44e7-9f62-47bcfd0e24fc.zip), eID-FRANCE (https://img.ants.gouv.fr/ba66b9a1-bb09-4c0b-ad27-ce39d038a6e6.zip)
fichier	pays	sujet	valide_du	valide_au	sha256	sources
AD_CSCA-AND_bsi_73d1823a.pem	AD	CN=CSCA-AND,OU=MJI,O=GOV,C=AD	2016-11-24	2030-02-22	73d1823ab0ff319001a117b9f924249b2a83fa0defa9fdf0aae3638788f99b77	bsi
AD_CSCA-AND_bsi_3990e604.pem	AD	CN=CSCA-AND,OU=MJI,O=GOV,C=AD	2017-02-09	2030-05-10	3990e604e2424d71a103069acf2151cb0f046a514ad66274e739279745aaac8f	bsi
AD_CSCA-AND_bsi_71ac5e8f.pem	AD	CN=CSCA-AND,OU=MJI,O=GOV,C=AD	2020-01-30	2033-04-28	71ac5e8f44b73ed1bead14beae0d38f30e8f177cbacb19f52a848a8e2645be3a	bsi
AD_CSCA-AND_bsi_fd8149c8.pem	AD	CN=CSCA-AND,OU=MJI,O=GOV,C=AD	2022-11-24	2036-02-20	fd8149c873daf1734433ba94afc0aec881b960ed2b7c5cbbb74c3f4e0b50d1a4	bsi
AD_CSCA-AND_bsi_98145fc6.pem	AD	C=AD,OU=MJI,CN=CSCA-AND,O=GOV	2022-12-15	2036-03-17	98145fc6b84d7fc7c9c21494deff03d8f1b45ebda700dce899d05d0fcaf66767	bsi
AE_UAE-CSCA-01_icao_16eb7dcd.pem	AE	CN=UAE CSCA 01,O=MOI OU=EPASS,C=AE	2011-07-03	2020-09-01	16eb7dcd1c7a9538a073a6492623182a2394ec8473d8536e5b6c07c12f3a3119	icao
AE_UAE-CSCA-01_icao_4bfebea0.pem	AE	CN=UAE CSCA 01,OU=EPASS,O=MOI,C=AE	2011-07-20	2020-09-18	4bfebea03c2f0ea2b52510c8ce311e713e3a0d69ad91c2c48a1e7d308367a03d	icao
AE_UAE-CSCA-01_icao_cf9734b7.pem	AE	CN=UAE CSCA 01,OU=EPASS,O=MOI,C=AE	2015-04-15	2024-06-14	cf9734b7ab4c59db8a5c4e6ec772007f2173bd1b31d743d41ea7350374e24262	icao
AE_UAE-CSCA-01_icao_0f15d0e5.pem	AE	CN=UAE CSCA 01,OU=EPASS,O=MOI,C=AE	2015-04-15	2024-06-14	0f15d0e5976acce597d77b5e39d2e9650936b96849d82b5d0f5adcee8a47e62a	icao
AE_UAE-CSCA-01_icao-bsi_3bbf823a.pem	AE	CN=UAE CSCA 01,OU=EPASS,O=MOI,C=AE	2017-10-05	2026-12-05	3bbf823a2c632b7d3646535a77ef893bc31662bbfcb548bcc8ecc3d826088fbb	icao+bsi
